T (us), IAW, IBW, ICW, VAY, VBY, VCY
39750.00, -1.370638, -.0838911, 1.4545287, 95.174362, -20.06768, -75.10669
40000.00, -1.296516, -.2116044, 1.5081202, 92.38575, -12.2923, -80.09344
40250.00, -1.214356, -.3379939, 1.55235, 89.02861, -4.441442, -84.58717
40500.00, -1.124706, -.4622719, 1.5869778, 85.123795, 3.4366045, -88.5604
40750.00, -1.02816, -.5836676, 1.6118275, 80.69529, 11.293398, -91.98869
41000.00, -.9253483, -.7014329, 1.6267812, 75.770119, 19.080637, -94.85076
41250.00, -.8169264, -.8148471, 1.6317735, 70.378204, 26.750439, -97.12864
41500.00, -.7035668, -.9232198, 1.6267866, 64.552277, 34.255596, -98.80787
41750.00, -.5859557, -1.025893, 1.6118491, 58.327789, 41.54987, -99.87766
42000.00, -.4647903, -1.122246, 1.5870361, 51.742764, 48.588264, -100.331
42250.00, -.3407808, -1.211692, 1.5524726, 44.837616, 55.327301, -100.1649
42500.00, -.2146526, -1.293685, 1.5083375, 37.654949, 61.725319, -99.38026
42750.00, -.0871491, -1.36772, 1.4548695, 30.239273, 67.742737, -97.98201
43000.00, .04096694, -1.433338, 1.3923713, 22.63669, 73.342346, -95.97903
43250.00, .16891344, -1.490126, 1.3212128, 14.894531, 78.489525, -93.38405
43500.00, .2958931, -1.537725, 1.2418314, 7.060986, 83.152496, -90.21348
43750.00, .42110002, -1.57583, 1.1547298, -.8152851, 87.302528, -86.48724
44000.00, .54372925, -1.604199, 1.0604693, -8.685517, 90.914108, -82.22858
44250.00, .66298819, -1.62265, .95966202, -16.50117, 93.965057, -77.46388
44500.00, .7781083, -1.63107, .8529613, -24.21424, 96.436691, -72.22245
44750.00, .88835591, -1.629408, .74105167, -31.77751, 98.313896, -66.53638
45000.00, .99304092, -1.617681, .62463993, -39.14474, 99.585175, -60.44043
45250.00, 1.0915226, -1.59597, .50444764, -46.27097, 100.24274, -53.97178
45500.00, 1.1832124, -1.564419, .38120678, -53.1126, 100.28255, -47.16995
45750.00, 1.2675743, -1.523231, .25565657, -59.62768, 99.704292, -40.07661
46000.00, 1.3441218, -1.472665, .12854324, -65.77611, 98.511444, -32.73534
46250.00, 1.4124151, -1.413036, .62065E-3, -71.51984, 96.711258, -25.19142
46500.00, 1.4720579, -1.344709, -.1273488, -76.82319, 94.314728, -17.49153
46750.00, 1.5226953, -1.268101, -.2545941, -81.65309, 91.336525, -9.683434
47000.00, 1.5640137, -1.183677, -.380337, -85.97935, 87.79496, -1.815612
47250.00, 1.5957435, -1.091947, -.5037963, -89.77494, 83.711861, 6.0630779
47500.00, 1.6176639, -.9934703, -.6241935, -93.01624, 79.11245, 13.903785
47750.00, 1.6296089, -.8888471, -.7407618, -95.68315, 74.025139, 21.658005
48000.00, 1.6314744, -.7787198, -.8527546, -97.75933, 68.481415, 29.277918
48250.00, 1.6232241, -.6637682, -.959456, -99.2322, 62.515537, 36.716667
48500.00, 1.6048946, -.5447051, -1.06019, -100.093, 56.164394, 43.928635
48750.00, 1.5765972, -.4222715, -1.154326, -100.3369, 49.46719, 50.869675
49000.00, 1.5385176, -.2972303, -1.241287, -99.96256, 42.46524, 57.497322
49250.00, 1.4909121, -.1703603, -1.320552, -98.97267, 35.201687, 63.770988
49500.00, 1.4341024, -.04245, -1.391652, -97.37342, 27.721249, 69.652168
49750.00, 1.3684678, .08570867, -1.454177, -95.17461, 20.069952, 75.10466
50000.00, 1.2944374, .21332546, -1.507763, -92.38962, 12.294876, 80.094742
50250.00, 1.2124834, .33961675, -1.5521, -89.03532, 4.4438701, 84.591454
50500.00, 1.1231153, .46380973, -1.586925, -85.13206, -3.434724, 88.56678
50750.00, 1.0268761, .58514601, -1.612022, -80.70355, -11.29236, 91.995903
51000.00, .92434102, .70288485, -1.627226, -75.77686, -19.08057, 94.857422
51250.00, .81611717, .81630647, -1.632424, -70.38221, -26.75129, 97.133499
51500.00, .70284474, .92471534, -1.62756, -64.55289, -34.25715, 98.810036
51750.00, .58519804, 1.0274438, -1.612642, -58.32497, -41.55178, 99.876747
52000.00, .46388572, 1.1238559, -1.587742, -51.73711, -48.59013, 100.32723
52250.00, .3396495, 1.2133524, -1.553002, -44.83023, -55.32873, 100.15897
52500.00, .21326031, 1.2953749, -1.508635, -37.64725, -61.72601, 99.37326
